xgd90,wins
1.22,28
0.79,26
0.45,23
0.85,19
0.57,19
0.61,18
-0.06,18
0.2,18
0.18,15
-0.46,15
-0.23,11
-0.08,11
-0.61,11
-0.1,11
-0.67,11
-0.66,9
-0.54,8
-0.34,9
-0.52,7
-0.61,6
1.68,29
1.45,28
0.79,21
0.58,22
0.39,22
0.07,16
-0.06,16
-0.3,14
0.09,12
-0.51,15
-0.5,13
0.15,11
-0.07,13
-0.13,13
-0.4,9
-0.37,11
-0.62,9
-0.46,7
-0.64,6
-1.14,5
1,27
0.49,21
0.65,20
0.85,19
0.26,20
0.18,19
0.1,18
0.23,18
-0.06,18
-0.12,17
0.04,16
-0.39,12
-0.34,12
-0.64,12
-0.31,12
0.41,9
-0.4,10
-0.32,5
-0.84,5
-0.78,7
0.82,32
1.47,26
0.64,18
0.81,20
0.44,18
-0.17,16
0.42,15
-0.22,14
-0.21,14
-0.06,15
0.09,15
0.07,13
-0.79,11
-0.56,11
-0.25,9
-0.4,10
-0.62,9
-0.46,9
-0.24,8
-0.78,5
1.57,32
1.18,30
0.58,21
0.2,23
0.15,21
0.29,19
0.26,16
0.1,15
0.23,15
-0.38,15
-0.29,14
-0.07,14
-0.38,12
-0.1,13
-0.47,11
-0.22,9
-0.63,9
-0.5,10
-0.71,7
-0.85,3
1.44,32
0.4,25
0.81,23
1.03,21
0.54,21
0.54,19
-0.5,14
-0.31,13
0.05,12
-0.28,12
0.14,11
-0.54,11
-0.48,10
-0.18,11
-0.36,9
-0.45,9
-0.14,7
-0.71,8
-0.69,7
-0.3,6
1.09,28
0.38,23
1.11,22
0.2,22
0,18
-0.08,18
0.14,17
0.22,15
-0.09,14
0.01,14
-0.29,12
0.08,14
-0.01,13
-0.46,15
-0.5,11
-0.02,10
-0.2,12
-0.19,6
-0.84,5
-0.55,5
0.8,26
0.14,22
0.52,21
0.47,15
0.07,15
0.56,17
-0.13,14
-0.06,13
0.03,13
-0.06,14
-0.32,13
0.24,11
-0.02,11
-0.03,10
-0.59,11
-0.46,10
-0.38,10
-0.24,9
-0.25,7
-0.3,8
0.91,26
0.74,25
0.64,18
0.45,19
0.45,18
0.15,16
0.06,16
0,14
-0.33,14
0,13
